id,current_life,leisure,housing,loved_ones
age,-0.287,-0.245,-0.0983,-0.223
age-square,0.00519,0.00473,0.00192,0.00384
age-cube,-3.01e-05,-3.00e-05,-1.11e-05,-2.10e-05
is-woman,-0.0568,-0.41,0.123,-0.0268
woman-by-age,0.00167,0.00293,0.000619,0.00458
is-french,0.277,0.411,0.309,-0.175
income-decile,0.229,0.297,0.107,0.152
income-decile-square,-0.0126,-0.0167,-0.00496,-0.0116
is-owner,0.3,0.284,0.705,0.242
is-working,1.369,0.921,0.346,0.814
partner-working,0.181,0.0900,0.0293,0.102
has-children-1,-0.404,-0.497,0.123,-0.453
has-children-2,-0.220,-0.652,0.188,-0.430
has-children-3,-0.252,-0.712,0.0921,-0.403
is-student,1.171,0.677,0.52,0.403
is-retired,1.056,0.718,0.143,0.582
is-at-home,0.972,0.596,0.270,0.384
has-dip-pro,0.016,0.15,0.0522,0.0209
has-bac,0.151,0.145,0.0648,0.0521
has-bac-plus,0.176,0.289,0.0682,0.018
is-in-couple,0.280,-0.0403,0.189,0.224
is-divorced,-0.286,-0.210,-0.158,-0.0427
is-widow,0.0526,0.209,0.189,0.160
partner-working-by-children,0.173,0.361,0.392,0.0844
at-home-by-children,0.226,-0.274,-0.447,0.212
woman-by-unemployed,0.312,0.216,-0.0633,0.386
at-work-by-dip-pro,-0.194,-0.114,-0.0464,-0.0531
at-work-by-bac,-0.161,-0.00487,0.0455,-0.0549
at-work-by-bac-plus,-0.238,-0.156,-0.0642,-0.0866
at-work-by-in-couple,-0.148,-0.307,-0.0544,-0.241
woman-by-in-couple,-0.0527,0.181,-0.152,-0.102
at-work-by-children,0.117,-0.0841,-0.109,0.123
in-couple-by-children,0.0739,-0.144,-0.429,0.208
charity,0.214,0.698,0.122,0.200
baseline,9.753,8.546,7.631,10.88
